per,n_ent,fol,ent,con,v_sel,n_hog,h_mud,n_ren,nom,c_res,par,sex,eda,f_nac,alf,i_niv,i_anio,a_esc,e_con,c_act,ocu,a_eco,pos,i_per,ing,upm,elegido,factor,fac_p18
"0522","1","12A215","01","40023","2","1","0","02","-","1","2","2","33","1988-09-09","1","07","4","1","5","01","1","2","3","3","010000","0101180","1",7814,15973
"0522","1","12A215","01","40023","2","1","0","05","-","1","3","1","09","2012-08-17","1","02","3","1"," ",""," "," "," "," ","","0101180"," ",7814,0
"0522","1","12A215","01","40023","2","1","0","04","-","1","3","1","14","2008-04-19","1","03","1","1","6","06"," "," "," "," ","","0101180"," ",7814,0
"0522","1","12A215","01","40023","2","1","0","03","-","1","3","2","15","2006-08-06","1","04","1","1","6","06"," "," "," "," ","","0101180"," ",7814,0
"0522","1","12A215","01","40023","4","1","0","01","-","1","1","2","58","1964-05-10","1","03","3","2","4","07"," "," "," "," ","","0101180","1",7814,15973
"0522","1","12A215","01","40023","4","1","0","02","-","1","3","1","32","1990-03-12","1","03","3","2","2","01","5","5","3","2","003500","0101180"," ",7814,0
"0522","1","12A215","01","40023","3","1","0","01","-","1","1","1","26","1995-05-20","1","04","3","2","6","01","7","2","3","1","001400","0101180","1",7814,15973
"0522","1","12A215","01","40023","3","1","0","02","-","1","6","1","30","1991-11-02","1","04","3","2","6","01","7","4","3","1","001700","0101180"," ",7814,0
"0522","1","12A215","01","40023","3","1","0","03","-","1","7","1","04","2018-03-03"," ",""," "," "," ",""," "," "," "," ","","0101180"," ",7814,0
"0522","1","12A215","01","40023","1","1","0","01","-","1","1","2","52","1969-07-11","1","07","1","1","4","01","1","5","3","2","004000","0101180","1",7814,23959
"0522","1","12A215","01","40023","1","1","0","02","-","1","3","2","25","1996-06-02","1","07","5","2","6","01","1","2","3","2","005200","0101180"," ",7814,0
"0522","1","12A215","01","40023","1","1","0","03","-","1","3","1","21","2000-11-21","1","07","4","1","6","06"," "," "," "," ","","0101180"," ",7814,0
