per,n_ent,fol,ent,con,v_sel,n_hog,h_mud,n_ren,nom,c_res,par,sex,eda,f_nac,alf,i_niv,i_anio,a_esc,e_con,c_act,ocu,a_eco,pos,i_per,ing,upm,elegido,factor,fac_p18
"0322","6","12B196","01","40085","2","1","0","02","-","1","2","2","41","1981-02-05","1","03","3","2","5","07"," "," "," "," ","","0101485"," ",11073,0
"0322","6","12B196","01","40085","4","1","0","03","-","1","3","1","15","2007-02-15","1","03","2","1","6","06"," "," "," "," ","","0101485"," ",11073,0
"0322","6","12B196","01","40085","2","1","0","04","-","1","3","2","10","2012-02-05","1","02","3","1"," ",""," "," "," "," ","","0101485"," ",11073,0
"0322","6","12B196","01","40085","2","1","0","05","-","1","3","2","07","2015-02-05","1","01","2","1"," ",""," "," "," "," ","","0101485"," ",11073,0
"0322","6","12B196","01","40085","2","1","0","01","-","1","1","1","42","1979-06-29","1","03","3","2","5","01","7","2","3","2","005500","0101485"," ",11073,0
"0322","6","12B196","01","40085","3","1","0","03","-","1","3","1","20","2002-02-03","1","04","3","1","6","06"," "," "," "," ","","0101485"," ",11073,0
"0322","6","12B196","01","40085","3","1","0","02","-","1","2","2","47","1975-02-03","1","04","3","2","5","07"," "," "," "," ","","0101485","1",11073,33811
"0322","6","12B196","01","40085","3","1","0","04","-","1","3","2","16","2006-02-03","1","03","3","1","6","06"," "," "," "," ","","0101485"," ",11073,0
"0322","6","12B196","01","40085","3","1","0","01","-","1","1","1","53","1969-02-03","1","04","3","2","5","01","7","2","3","1","001400","0101485"," ",11073,0
"0322","6","12B196","01","40085","2","1","0","03","-","1","3","2","20","2002-02-05","1","04","3","1","6","06"," "," "," "," ","","0101485","1",11073,33811
"0322","6","12B196","01","40085","4","1","0","01","-","1","1","1","45","1977-02-15","1","04","3","2","5","01","7","2","3","1","002200","0101485","1",11073,22541
"0322","6","12B196","01","40085","4","1","0","02","-","1","2","2","46","1976-02-15","1","04","3","2","5","01","5","5","3","1","001400","0101485"," ",11073,0
"0322","6","12B196","01","40085","1","1","0","03","-","1","3","2","04","2017-12-06"," ",""," "," "," ",""," "," "," "," ","","0101485"," ",11073,0
"0322","6","12B196","01","40085","1","1","0","01","-","1","1","1","24","1998-02-03","1","07","3","2","1","01","7","2","3","1","002200","0101485"," ",11073,0
"0322","6","12B196","01","40085","1","1","0","02","-","1","2","2","23","1999-02-03","1","04","3","2","1","01","5","5","3","1","001500","0101485","1",11073,22541
"0322","6","11B196","01","40086","3","1","0","03","-","1","3","2","22","2000-02-04","1","03","3","2","6","01","5","4","3","1","001200","0101791"," ",7526,0
"0322","6","11B196","01","40086","1","1","0","01","-","1","1","1","70","1951-12-10","1","07","5","2","6","01","1","5","3","2","010000","0101791","1",7526,7603
"0322","6","11B196","01","40086","3","1","0","01","-","1","1","1","54","1968-02-04","1","06","3","2","1","01","5","5","3","1","002100","0101791"," ",7526,0
"0322","6","11B196","01","40086","3","1","0","04","-","1","3","1","13","2009-02-04","1","02","5","1","6","06"," "," "," "," ","","0101791"," ",7526,0
"0322","6","11B196","01","40086","3","1","0","02","-","1","2","2","42","1980-02-04","1","03","3","2","1","01","5","4","3","1","001200","0101791","1",7526,22809
"0322","6","11B196","01","40086","4","1","0","03","-","1","3","1","17","2005-02-11","1","04","1","1","6","06"," "," "," "," ","","0101791"," ",7526,0
"0322","6","11B196","01","40086","4","1","0","01","-","1","1","1","39","1983-02-11","1","04","3","2","5","01","7","2","3","1","004800","0101791","1",7526,15206
"0322","6","11B196","01","40086","4","1","0","05","-","1","3","1","12","2009-12-09","1","02","5","1","6","06"," "," "," "," ","","0101791"," ",7526,0
"0322","6","11B196","01","40086","4","1","0","04","-","1","3","1","14","2008-02-11","1","03","1","1","6","06"," "," "," "," ","","0101791"," ",7526,0
"0322","6","11B196","01","40086","4","1","0","02","-","1","2","2","36","1986-02-11","1","04","2","2","5","01","7","2","3","1","001300","0101791"," ",7526,0
"0322","6","11B196","01","40086","2","1","1","04","-","1","3","1","18","2004-02-17","1","04","2","1","6","06"," "," "," "," ","","0101791"," ",7526,0
"0322","6","11B196","01","40086","2","1","1","03","-","1","3","2","22","2000-02-17","1","07","2","1","6","01","4","5","3","2","002000","0101791"," ",7526,0
"0322","6","11B196","01","40086","2","1","1","01","-","1","1","1","45","1976-10-16","1","07","2","2","5","01","5","5","3","2","005000","0101791","1",7526,30413
"0322","6","11B196","01","40086","2","1","1","05","-","1","3","2","02","2020-02-17"," ",""," "," "," ",""," "," "," "," ","","0101791"," ",7526,0
"0322","6","11B196","01","40086","2","1","1","02","-","1","2","2","42","1980-02-17","1","04","3","2","5","01","4","5","3","2","005000","0101791"," ",7526,0
"0322","6","11B196","01","40086","3","1","0","05","-","1","3","1","08","2013-10-22","1","02","1","1"," ",""," "," "," "," ","","0101791"," ",7526,0
"0322","2","11B202","01","40111","3","1","0","02","-","1","2","2","54","1967-06-10","1","03","3","2","5","01","4","5","2","1","001000","0101370","1",7636,15429
"0322","2","11B202","01","40111","2","1","0","02","-","1","2","2","29","1992-06-14","1","03","3","2","1","07"," "," "," "," ","","0101370","1",7636,15429
"0322","2","11B202","01","40111","2","1","0","03","-","1","3","2","11","2010-10-03","1","02","4","1"," ",""," "," "," "," ","","0101370"," ",7636,0
"0322","2","11B202","01","40111","2","1","0","04","-","1","3","2","13","2008-05-09","1","02","6","1","6","06"," "," "," "," ","","0101370"," ",7636,0
"0322","2","11B202","01","40111","2","1","0","01","-","1","1","1","31","1990-04-29","1","03","3","2","1","01","4","5","3","1","002500","0101370"," ",7636,0
